#=================================================================,,,,,,
# DirecTV Comparisons,,,,,,
# Date: Jul 19 2019 - Jul 26 2019,,,,,,
# Segments: Network Name: Nat Geo - DirecTV,,,,,,
#=================================================================,,,,,,
,,,,,,
,,,,,,
##############################################,,,,,,
# Networks,,,,,,
##############################################,,,,,,
,Unique Visitors,Content Starts,Content Time Spent in Minutes,Video: Avg Time Spent in Minutes,Content Completes,Video Completion Rate
Network Name (v3),211547,743558,11413671.5,15.35007558,171503,0.230651812
National Geographic,211547,743558,11413671.5,15.35007558,171503,0.230651812
,,,,,,
,,,,,,
##############################################,,,,,,
# By Day,,,,,,
##############################################,,,,,,
,Unique Visitors,Content Starts,Content Time Spent in Minutes,Video: Avg Time Spent in Minutes,Content Completes,Video Completion Rate
Day,211547,743558,11413671.5,15.35007558,171503,0.230651812
7/19/2019,46133,96654,1503190.817,15.55228771,22454,0.2323132
7/20/2019,54098,121305,1991766.35,16.41949095,29227,0.240938131
7/21/2019,69543,169365,2721843.65,16.07087444,41254,0.243580433
7/22/2019,47804,88934,1277879.417,14.36885125,18295,0.20571435
7/23/2019,42008,78458,1094147.5,13.94564608,16581,0.211336001
7/24/2019,36521,62846,951149.35,15.13460443,14190,0.225790026
7/25/2019,34020,59877,924025.9333,15.43206796,14191,0.237002522
7/26/2019,35690,66119,949668.4833,14.36301945,15311,0.231567326
,,,,,,
,,,,,,
##############################################,,,,,,
# Content,,,,,,
##############################################,,,,,,
,Content Starts,Content Time Spent in Minutes,Video: Avg Time Spent in Minutes,Content Completes,Video Completion Rate,
Content,743558,11413671.5,15.35007558,171503,0.230651812,
NOT_SET,56815,417813.4167,7.353927953,11897,0.209398926,
EP032394280001,24212,357135.7667,14.75036208,4072,0.168181067,
EP022207250077,20379,283212.4833,13.89727088,3511,0.172285196,
SH032615220000,16902,303580.7667,17.96123338,3881,0.229617797,
EP017437170027,16458,295508.35,17.95530137,3587,0.217948718,
SH032504950000,13011,235539.6667,18.10311787,3021,0.232188148,
SH032315050000,12853,222934.5667,17.34494411,2844,0.221271299,
EP017437170033,12342,196471.8333,15.91896235,2387,0.193404635,
SH032505590000,10845,179228.9667,16.52641463,2566,0.236606731,
SH032504990000,10249,179231.15,17.48767197,2036,0.198653527,
SH011944360000,10165,117125.6167,11.52244138,3105,0.305459911,
EP032244110004,9828,162819.9667,16.56694818,1970,0.2004477,
EP032505610001,9606,113449.9667,11.81032341,1426,0.148448886,
EP029707790026,9559,135682.6167,14.19422708,1600,0.167381525,
SH027170310000,8832,160910.5,18.21903306,2202,0.249320652,
EP029705840007,8390,101762.3333,12.12900278,1158,0.138021454,
EP017437170029,8283,173985.4833,21.00512898,2062,0.248943619,
EP032505610002,8125,107144.2167,13.18698051,1331,0.163815385,
EP012835790054,8079,116306.6167,14.39616495,1386,0.171555886,
EP017437170024,7804,156551.2,20.06037929,1907,0.244361866,
EP031214340007,7744,101441.1167,13.09931775,1287,0.166193182,
EP029033870043,7717,116992.35,15.16034081,1361,0.176363872,
SH029885880000,7698,145374.1,18.88465835,1891,0.24564822,
EP032505600001,7446,113092.8333,15.18840093,1343,0.180365297,
EP031214340001,7225,107708.0333,14.90768627,1343,0.185882353,
